60,50,2,10,30,90,160,250,1	
60,50,4,20,60,180,320,450,3
100,50,6,30,90,270,400,550,6
120,50,8,40,100,300,450,600,7
120,100,10,50,150,450,625,750,9
140,100,10,50,150,450,625,750,10
160,100,12,60,180,500,700,900,11
180,100,14,70,200,550,750,950,13
180,100,14,70,200,550,750,950,14
180,100,16,80,220,600,800,1000,15
220,150,18,90,250,70,875,1050,17
240,150,20,100,300,750,925,1100,18
260,150,22,110,330,800,975,1150,22
280,150,24,120,360,850,1025,1200,23
300,200,26,130,390,900,1100,1275,25
300,200,26,130,390,900,1100,1275,26
320,200,28,150,450,1000,1200,1400,27
350,200,35,175,500,1100,1300,1500,30
400,200,50,200,600,1400,1700,2000,31
